file	area	owner_agent	review_status	receiver_extension_status	helper_model_status	naming_status	type_boundary_status	test_quality_status	comment_status	action_taken	retained_rationale	verification	detected_patterns
grazel-gradle-plugin/src/functionalTest/kotlin/com/grab/grazel/migrate/BuildVariantTest.kt	functionalTest	parent+subagents	fixed	fixed	fixed	fixed	fixed	fixed	fixed	Applied preserving Item41 cleanup in this file.	No retained branch-local issue after cleanup; broader risks are logged separately when applicable.	Focused Item41 tests passed; final gates pending.	domain_receiver_extension,source_string_assertion,type_boundary_candidate
grazel-gradle-plugin/src/functionalTest/kotlin/com/grab/grazel/migrate/SourcePathTest.kt	functionalTest	parent+subagents	retained_problem_essential	retained_problem_essential	retained_problem_essential	retained_problem_essential	retained_problem_essential	retained_problem_essential	retained_problem_essential	Reviewed and retained by Item41 audit.	Functional test asserts generated BUILD/WORKSPACE text, which is the contract under test.	Inventory/subagent audit; final gates pending.	source_string_assertion
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/bazel/rules/AndroidRules.kt	main	parent+subagents	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	Reviewed by deterministic inventory and scoped Item41 audits.	No preserving branch-local source-shape issue identified.	Inventory/subagent audit; final gates pending.	none
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/bazel/rules/DaggerRules.kt	main	parent+subagents	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	Reviewed by deterministic inventory and scoped Item41 audits.	No preserving branch-local source-shape issue identified.	Inventory/subagent audit; final gates pending.	none
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/bazel/rules/MavenRules.kt	main	parent+subagents	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	Reviewed by deterministic inventory and scoped Item41 audits.	No preserving branch-local source-shape issue identified.	Inventory/subagent audit; final gates pending.	domain_receiver_extension
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/bazel/starlark/BazelDependency.kt	main	parent+subagents	fixed	fixed	fixed	fixed	fixed	fixed	fixed	Applied preserving Item41 cleanup in this file.	No retained branch-local issue after cleanup; broader risks are logged separately when applicable.	Focused Item41 tests passed; final gates pending.	domain_receiver_extension,type_boundary_candidate
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/bazel/starlark/Statement.kt	main	parent+subagents	retained_problem_essential	retained_problem_essential	retained_problem_essential	retained_problem_essential	retained_problem_essential	retained_problem_essential	retained_problem_essential	Reviewed and retained by Item41 audit.	Collection<T>.quote is an intentional Starlark DSL convenience retained by maintainer direction.	Inventory/subagent audit; final gates pending.	generic_collection_receiver,unchecked_cast,type_boundary_candidate
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/di/GrazelComponent.kt	main	parent+subagents	fixed	fixed	fixed	fixed	fixed	fixed	fixed	Applied preserving Item41 cleanup in this file.	No retained branch-local issue after cleanup; broader risks are logged separately when applicable.	Focused Item41 tests passed; final gates pending.	none
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/extension/ExperimentsExtension.kt	main	parent+subagents	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	no_issue	Reviewed by deterministic inventory and scoped Item41 audits.	No preserving branch-local source-shape issue identified.	Inventory/subagent audit; final gates pending.	unchecked_cast
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/extension/MavenInstallExtension.kt	main	parent+subagents	fixed	fixed	fixed	fixed	fixed	fixed	fixed	Applied preserving Item41 cleanup in this file.	No retained branch-local issue after cleanup; broader risks are logged separately when applicable.	Focused Item41 tests passed; final gates pending.	type_boundary_candidate
