file	line	call	phase	transport	verdict	action_or_rationale
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/util/GrazelJson.kt	15	fromJson	helper_definition	RegularFile_to_File	allowed	Shared file-backed JSON helper; no model payload crosses a task boundary here.
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/util/GrazelJson.kt	16	fromJson	helper_definition	File_input	allowed	Shared file-backed JSON helper; callers own phase correctness.
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/util/GrazelJson.kt	19	decodeFromStream	helper_task_action_or_service	File_input_stream	allowed	File-backed decode primitive.
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/util/GrazelJson.kt	21	writeJson	helper_definition	RegularFile_output	allowed	Shared file-backed JSON helper.
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/util/GrazelJson.kt	23	encodeToStream	helper_task_action	File_output_stream	allowed	File-backed encode primitive.
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/gradle/dependencies/WorkspacePlanService.kt	51	fromJson	service_lazy_read	RegularFile	allowed	Build service lazily reads workspace plan files produced by tasks.
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/gradle/dependencies/WorkspacePlanService.kt	61	fromJson	service_lazy_read	RegularFile	allowed	Build service lazily reads workspace render plan files produced by tasks.
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/tasks/internal/CollectKspProcessorDependenciesTask.kt	121	writeJson	task_action	RegularFileProperty_output	allowed	Task action writes KSP dependency JSON output.
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/tasks/internal/CollectWorkspaceDependencyRootMetadataTask.kt	57	writeJson	task_action	RegularFileProperty_output	allowed	Task action writes workspace root metadata JSON output.
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/tasks/internal/CollectWorkspaceTargetTagPlanTask.kt	71	writeJson	task_action	RegularFileProperty_output	allowed	Task action writes target tag plan JSON output.
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/tasks/internal/AnalyzeVariantCompressionTask.kt	152	Json.encodeToString	task_action	RegularFileProperty_output	allowed	Task action writes compression analysis output.
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/tasks/internal/PinMavenArtifactsTask.kt	66	fromJson	task_action	RegularFileProperty_input	allowed	Task action reads workspace plan file input.
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/tasks/internal/PinMavenArtifactsTask.kt	67	fromJson	task_action	RegularFileProperty_input	allowed	Task action reads workspace render plan file input.
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/tasks/internal/CollectTargetMavenRepoReferencesTask.kt	107	writeJson	task_action	RegularFileProperty_output	allowed	Task action writes target reference facts JSON output.
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/tasks/internal/GenerateRootBazelScriptsTask.kt	114	fromJson	task_action	RegularFileProperty_input	allowed	Task action reads workspace plan file input.
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/tasks/internal/GenerateRootBazelScriptsTask.kt	115	fromJson	task_action	RegularFileProperty_input	allowed	Task action reads workspace render plan file input.
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/tasks/internal/CollectDeclaredDependencyMetadataTask.kt	132	writeJson	task_action	RegularFileProperty_output	allowed	Single-task mode writes aggregate declared metadata JSON in the task action.
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/tasks/internal/CollectDeclaredDependencyMetadataTask.kt	179	writeJson	task_action	RegularFileProperty_output	allowed	Fanout shard task writes one project declared metadata JSON file in the task action.
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/tasks/internal/CollectDeclaredDependencyMetadataTask.kt	235	fromJson	task_action	RegularFileProperty_input	allowed	Fanout merge task reads project shard JSON files as Gradle file inputs.
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/tasks/internal/CollectDeclaredDependencyMetadataTask.kt	238	writeJson	task_action	RegularFileProperty_output	allowed	Fanout merge task writes the aggregate declared metadata JSON in the task action.
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/tasks/internal/FinalizeWorkspacePlanTask.kt	67	fromJson	task_action	RegularFileProperty_input	allowed	Task action reads target reference facts file input.
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/tasks/internal/FinalizeWorkspacePlanTask.kt	76	writeJson	task_action	RegularFileProperty_output	allowed	Task action writes workspace render plan file output.
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/tasks/internal/ResolveWorkspaceDependenciesTask.kt	72	fromJson	task_action	RegularFileProperty_input	allowed	Task action reads workspace root metadata file input.
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/tasks/internal/ResolveWorkspaceDependenciesTask.kt	82	fromJson	task_action	RegularFileProperty_input	allowed	Task action reads declared dependency metadata file input.
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/tasks/internal/ResolveWorkspaceDependenciesTask.kt	85	fromJson	task_action	RegularFileProperty_input	allowed	Task action reads KSP dependency file input.
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/tasks/internal/ResolveWorkspaceDependenciesTask.kt	95	writeJson	task_action	RegularFileProperty_output	allowed	Task action writes workspace dependency resolution results.
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/tasks/internal/ComputeWorkspacePlanTask.kt	78	fromJson	task_action	RegularFileProperty_input	allowed	Task action reads workspace dependencies file input.
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/tasks/internal/ComputeWorkspacePlanTask.kt	82	fromJson	task_action	Optional_RegularFile_input	allowed	Task action reads optional target tag plan file when present.
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/tasks/internal/ComputeWorkspacePlanTask.kt	86	writeJson	task_action	RegularFileProperty_output	allowed	Task action writes workspace plan file output.
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/tasks/internal/ComputeWorkspaceDependenciesTask.kt	65	fromJson	task_action	RegularFileProperty_input	allowed	Task action reads resolver output file input.
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/tasks/internal/ComputeWorkspaceDependenciesTask.kt	74	writeJson	task_action	RegularFileProperty_output	allowed	Task action writes workspace dependency file output.
grazel-gradle-plugin/src/main/kotlin/com/grab/grazel/gradle/dependencies/DependencyResolutionService.kt	149	fromJson	service_lazy_read	RegularFile	allowed	Dependency resolution service lazily reads workspace dependencies file produced by tasks.
